title,listed_in,description,content
Midnight Diner,"International TV Shows, TV Dramas","A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs.","Title: Midnight Diner | Genre: International TV Shows, TV Dramas | Description: A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs."
Mirai,"Action & Adventure, Anime Features, Children & Family Movies","Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house.","Title: Mirai | Genre: Action & Adventure, Anime Features, Children & Family Movies | Description: Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house."
My Shy Boss,"International TV Shows, Korean TV Shows, Romantic TV Shows",The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,"Title: My Shy Boss | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems."
Revolutionary Love,"International TV Shows, Korean TV Shows, Romantic TV Shows",A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.,"Title: Revolutionary Love | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference."
The Disaster Artist,"Comedies, Dramas","Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.","Title: The Disaster Artist | Genre: Comedies, Dramas | Description: Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder."
The Stolen,Dramas,A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.,Title: The Stolen | Genre: Dramas | Description: A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.
High Strung Free Dance,"Dramas, Music & Musicals, Romantic Movies",A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.,"Title: High Strung Free Dance | Genre: Dramas, Music & Musicals, Romantic Movies | Description: A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight."
Freej Al Taibeen,"Comedies, Dramas, International Movies","Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.","Title: Freej Al Taibeen | Genre: Comedies, Dramas, International Movies | Description: Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training."
Kenny Sebastian: The Most Interesting Person in the Room,Stand-Up Comedy,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.","Title: Kenny Sebastian: The Most Interesting Person in the Room | Genre: Stand-Up Comedy | Description: Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough."
Space Force,TV Comedies,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,Title: Space Force | Genre: TV Comedies | Description: A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.
The Other,"Dramas, International Movies, Romantic Movies","When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union.","Title: The Other | Genre: Dramas, International Movies, Romantic Movies | Description: When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union."
"Can't Cope, Won't Cope","TV Comedies, TV Dramas","In Dublin, friends Aisling and Danielle must come to terms with adulthood when their millennial hijinks and hangovers begin to wear off.","Title: Can't Cope, Won't Cope | Genre: TV Comedies, TV Dramas | Description: In Dublin, friends Aisling and Danielle must come to terms with adulthood when their millennial hijinks and hangovers begin to wear off."
Dorohedoro,"Anime Series, International TV Shows","Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.","Title: Dorohedoro | Genre: Anime Series, International TV Shows | Description: Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat."
Grandmother's Farm,"Comedies, Horror Movies, International Movies",A guys' getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party.,"Title: Grandmother's Farm | Genre: Comedies, Horror Movies, International Movies | Description: A guys' getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party."
Grandmother's Farm Part 2,"Comedies, Horror Movies, International Movies","After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah — and right into more terror.","Title: Grandmother's Farm Part 2 | Genre: Comedies, Horror Movies, International Movies | Description: After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah — and right into more terror."
Intuition,"Dramas, International Movies, Thrillers","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".","Title: Intuition | Genre: Dramas, International Movies, Thrillers | Description: Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
Mako Mermaids: An H2O Adventure,"Kids' TV, TV Comedies","This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island.","Title: Mako Mermaids: An H2O Adventure | Genre: Kids' TV, TV Comedies | Description: This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island."
I'm No Longer Here,"Dramas, Independent Movies, International Movies","A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life.","Title: I'm No Longer Here | Genre: Dramas, Independent Movies, International Movies | Description: A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life."
Hannah Gadsby: Douglas,Stand-Up Comedy,"Hannah Gadsby returns for her second special and digs deep into the complexities of popularity, identity and her most unusual dog park encounter.","Title: Hannah Gadsby: Douglas | Genre: Stand-Up Comedy | Description: Hannah Gadsby returns for her second special and digs deep into the complexities of popularity, identity and her most unusual dog park encounter."
Ne Zha,"Action & Adventure, Comedies, International Movies","Bound by a divine mandate, rebellious outcast Ne Zha grapples with his formidable powers and a destiny that would imperil his loved ones.","Title: Ne Zha | Genre: Action & Adventure, Comedies, International Movies | Description: Bound by a divine mandate, rebellious outcast Ne Zha grapples with his formidable powers and a destiny that would imperil his loved ones."
Supergirl,"TV Action & Adventure, TV Sci-Fi & Fantasy","To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.","Title: Supergirl | Genre: TV Action & Adventure, TV Sci-Fi & Fantasy | Description: To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City."
Uncut Gems,"Dramas, Thrillers","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.","Title: Uncut Gems | Genre: Dramas, Thrillers | Description: With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive."
Betaal,"International TV Shows, TV Action & Adventure, TV Horror","Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies.","Title: Betaal | Genre: International TV Shows, TV Action & Adventure, TV Horror | Description: Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies."
Dynasty,TV Dramas,The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.,Title: Dynasty | Genre: TV Dramas | Description: The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.
One Day We'll Talk About Today,"Dramas, International Movies","Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.","Title: One Day We'll Talk About Today | Genre: Dramas, International Movies | Description: Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them."
Si Doel the Movie 3,"Dramas, International Movies, Music & Musicals","Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves.","Title: Si Doel the Movie 3 | Genre: Dramas, International Movies, Music & Musicals | Description: Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves."
History 101,"British TV Shows, Docuseries, International TV Shows","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.","Title: History 101 | Genre: British TV Shows, Docuseries, International TV Shows | Description: Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries."
Living in Bondage: Breaking Free,"Horror Movies, International Movies, Thrillers","Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult.","Title: Living in Bondage: Breaking Free | Genre: Horror Movies, International Movies, Thrillers | Description: Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult."
Modest Heroes: Ponoc Short Films Theatre,"Anime Features, Children & Family Movies",Two underwater siblings surviving on their own. A boy with a serious egg allergy. A man invisible to the rest of society. Three short animated tales.,"Title: Modest Heroes: Ponoc Short Films Theatre | Genre: Anime Features, Children & Family Movies | Description: Two underwater siblings surviving on their own. A boy with a serious egg allergy. A man invisible to the rest of society. Three short animated tales."
The Lovebirds,"Action & Adventure, Comedies, Romantic Movies","When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names.","Title: The Lovebirds | Genre: Action & Adventure, Comedies, Romantic Movies | Description: When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names."
Trailer Park Boys: The Animated Series,TV Comedies,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.","Title: Trailer Park Boys: The Animated Series | Genre: TV Comedies | Description: Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons."
#FriendButMarried,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","Title: #FriendButMarried | Genre: Dramas, International Movies, Romantic Movies | Description: Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married."
Bye Bye London,"Comedies, Dramas, International Movies","In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.","Title: Bye Bye London | Genre: Comedies, Dramas, International Movies | Description: In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters."
Fifty Year Old Teenager,"Comedies, International Movies",The life of a married 50-year-old doctor turns topsy-turvy when he falls in love with a younger woman and begins to act like a teenager.,"Title: Fifty Year Old Teenager | Genre: Comedies, International Movies | Description: The life of a married 50-year-old doctor turns topsy-turvy when he falls in love with a younger woman and begins to act like a teenager."
Lock Your Girls In,"Comedies, International Movies, Romantic Movies",A widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love.,"Title: Lock Your Girls In | Genre: Comedies, International Movies, Romantic Movies | Description: A widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love."
Mujeres arriba,"Comedies, International Movies, Romantic Movies","A trio of best friends — a carefree bachelorette, a passionate mom and a perfectionist girlfriend — try to spice up their sex lives with their partners.","Title: Mujeres arriba | Genre: Comedies, International Movies, Romantic Movies | Description: A trio of best friends — a carefree bachelorette, a passionate mom and a perfectionist girlfriend — try to spice up their sex lives with their partners."
Mystic Pop-up Bar,"International TV Shows, Korean TV Shows, TV Comedies",A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.,"Title: Mystic Pop-up Bar | Genre: International TV Shows, Korean TV Shows, TV Comedies | Description: A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams."
No Longer kids,"Comedies, Dramas, International Movies","Hoping to prevent their father from skipping town with his mistress, four rowdy siblings resort to absurd measures to stop him.","Title: No Longer kids | Genre: Comedies, Dramas, International Movies | Description: Hoping to prevent their father from skipping town with his mistress, four rowdy siblings resort to absurd measures to stop him."
Raya and Sakina,"Comedies, Dramas, International Movies","When robberies and murders targeting women sweep early 20th-century Egypt, the hunt for suspects leads to two shadowy sisters. Based on a true story.","Title: Raya and Sakina | Genre: Comedies, Dramas, International Movies | Description: When robberies and murders targeting women sweep early 20th-century Egypt, the hunt for suspects leads to two shadowy sisters. Based on a true story."
Sayed the Servant,"Comedies, International Movies","While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme.","Title: Sayed the Servant | Genre: Comedies, International Movies | Description: While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme."
The Married Couples,"Comedies, International Movies, Romantic Movies","Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind.","Title: The Married Couples | Genre: Comedies, International Movies, Romantic Movies | Description: Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind."
The School of Mischief,"Comedies, Dramas, International Movies",A high school teacher volunteers to transform five notorious misfits into model students — and has unintended results.,"Title: The School of Mischief | Genre: Comedies, Dramas, International Movies | Description: A high school teacher volunteers to transform five notorious misfits into model students — and has unintended results."
The Witness Who Didn't See Anything,"Comedies, International Movies","Pressured by cops into testifying as an eyewitness to a neighbor's murder, a children's TV host takes on a new persona after the trial.","Title: The Witness Who Didn't See Anything | Genre: Comedies, International Movies | Description: Pressured by cops into testifying as an eyewitness to a neighbor's murder, a children's TV host takes on a new persona after the trial."
Anchor Baby,"Dramas, International Movies",A Nigerian couple living in the U.S. face agonizing fallout when they defy deportation orders with the hopes of giving their unborn child citizenship.,"Title: Anchor Baby | Genre: Dramas, International Movies | Description: A Nigerian couple living in the U.S. face agonizing fallout when they defy deportation orders with the hopes of giving their unborn child citizenship."
Ben Platt Live from Radio City Music Hall,Music & Musicals,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage —numbers from his debut LP, ""Sing to Me Instead.”","Title: Ben Platt Live from Radio City Music Hall | Genre: Music & Musicals | Description: Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage —numbers from his debut LP, ""Sing to Me Instead.”"
Especial 20 años Fútbol de Primera,"Docuseries, International TV Shows, Spanish-Language TV Shows","Revisit the emotional bouts and memorable highlights from the past two decades in this special celebrating esteemed TV show ""Fútbol de Primera.""","Title: Especial 20 años Fútbol de Primera | Genre: Docuseries, International TV Shows, Spanish-Language TV Shows | Description: Revisit the emotional bouts and memorable highlights from the past two decades in this special celebrating esteemed TV show ""Fútbol de Primera."""
Honeytrap,"Dramas, Independent Movies","New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.","Title: Honeytrap | Genre: Dramas, Independent Movies | Description: New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence."
I Will Follow,"Dramas, Independent Movies, Romantic Movies","Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.","Title: I Will Follow | Genre: Dramas, Independent Movies, Romantic Movies | Description: Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners."
Mutiny of the Worker Bees,"Comedies, International Movies","When Omar's grandfather forces him to get a job at a tech company in Mexico City, he meets a quirky ensemble of nine-to-fivers ... and some nemeses.","Title: Mutiny of the Worker Bees | Genre: Comedies, International Movies | Description: When Omar's grandfather forces him to get a job at a tech company in Mexico City, he meets a quirky ensemble of nine-to-fivers ... and some nemeses."
The Queen and the Conqueror,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Years after Spanish conquistador Pedro de Heredia betrayed her people and broke her heart, indigenous woman Catalina reenters his life to get revenge.","Title: The Queen and the Conqueror | Genre: International TV Shows, Spanish-Language TV Shows, TV Dramas | Description: Years after Spanish conquistador Pedro de Heredia betrayed her people and broke her heart, indigenous woman Catalina reenters his life to get revenge."
What Are the Odds?,"Comedies, Dramas, Independent Movies","When two unlikely friends play hooky from school, accidental encounters and otherworldly events turn their day into a whimsical coming-of-age journey.","Title: What Are the Odds? | Genre: Comedies, Dramas, Independent Movies | Description: When two unlikely friends play hooky from school, accidental encounters and otherworldly events turn their day into a whimsical coming-of-age journey."
Either Me Or My Auntie,"Comedies, International Movies","A musician's marriage proposal to his girlfriend is denied by her mother, whose affinity for magic begins to meddle in their relationship even more.","Title: Either Me Or My Auntie | Genre: Comedies, International Movies | Description: A musician's marriage proposal to his girlfriend is denied by her mother, whose affinity for magic begins to meddle in their relationship even more."
Escaping Tel Aviv,"Action & Adventure, International Movies","After her husband reveals he's an undercover Mossad agent, an Egyptian woman and their children are taken to Israel, prompting an urgent rescue mission.","Title: Escaping Tel Aviv | Genre: Action & Adventure, International Movies | Description: After her husband reveals he's an undercover Mossad agent, an Egyptian woman and their children are taken to Israel, prompting an urgent rescue mission."
Game Over,"Comedies, International Movies, Romantic Movies",A woman ends up working at the same nightclub as her son’s girlfriend — who she doesn’t like — and tries to break up their relationship.,"Title: Game Over | Genre: Comedies, International Movies, Romantic Movies | Description: A woman ends up working at the same nightclub as her son’s girlfriend — who she doesn’t like — and tries to break up their relationship."
Karkar,"Comedies, International Movies","After electrocution leaves a wealthy man brain-damaged, his money-hungry aunt and uncle try to con him by marrying him off to a fake relative.","Title: Karkar | Genre: Comedies, International Movies | Description: After electrocution leaves a wealthy man brain-damaged, his money-hungry aunt and uncle try to con him by marrying him off to a fake relative."
My Sleeping Lover,"Comedies, International Movies","After undergoing hypnosis, Ramez finally meets the woman of his dreams — but his vision of her appearance doesn't quite match up with reality.","Title: My Sleeping Lover | Genre: Comedies, International Movies | Description: After undergoing hypnosis, Ramez finally meets the woman of his dreams — but his vision of her appearance doesn't quite match up with reality."
Omar & Salma 2,"Comedies, International Movies","Now parents, Omar and Salma hit some obstacles while raising their two children and staying in love after the honeymoon ends.","Title: Omar & Salma 2 | Genre: Comedies, International Movies | Description: Now parents, Omar and Salma hit some obstacles while raising their two children and staying in love after the honeymoon ends."
Patton Oswalt: I Love Everything,"Stand-Up Comedy & Talk Shows, TV Comedies",Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,"Title: Patton Oswalt: I Love Everything | Genre: Stand-Up Comedy & Talk Shows, TV Comedies | Description: Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special."
Sweet Magnolias,"Romantic TV Shows, TV Dramas","Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity.","Title: Sweet Magnolias | Genre: Romantic TV Shows, TV Dramas | Description: Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity."
Tarek's Situation,"Comedies, International Movies, Romantic Movies","Asked by his boss to share a woman's personal information, a mobile phone sales rep falls in love with the target whose data he's stealing.","Title: Tarek's Situation | Genre: Comedies, International Movies, Romantic Movies | Description: Asked by his boss to share a woman's personal information, a mobile phone sales rep falls in love with the target whose data he's stealing."
The Beach Loafer,"Comedies, International Movies","A wedding singer and his friends try to prove his innocence after he's accused of murder, a situation threatening his own marriage plans.","Title: The Beach Loafer | Genre: Comedies, International Movies | Description: A wedding singer and his friends try to prove his innocence after he's accused of murder, a situation threatening his own marriage plans."
Wadjda,"Dramas, Independent Movies, International Movies",A persistent 10-year-old wishes for a new bicycle so she can beat her friend (a boy) in a race. But it's going to take some ingenuity to get one.,"Title: Wadjda | Genre: Dramas, Independent Movies, International Movies | Description: A persistent 10-year-old wishes for a new bicycle so she can beat her friend (a boy) in a race. But it's going to take some ingenuity to get one."
Zaki Chan,"Comedies, International Movies, Romantic Movies",An unqualified young man has his work cut out for him when he is hired as a rich girl’s bodyguard to keep her from the boyfriend her dad disapproves of.,"Title: Zaki Chan | Genre: Comedies, International Movies, Romantic Movies | Description: An unqualified young man has his work cut out for him when he is hired as a rich girl’s bodyguard to keep her from the boyfriend her dad disapproves of."
Light in the Dark,"Dramas, International Movies",A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds.,"Title: Light in the Dark | Genre: Dramas, International Movies | Description: A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds."
The Big Flower Fight,"British TV Shows, International TV Shows, Reality TV","Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.","Title: The Big Flower Fight | Genre: British TV Shows, International TV Shows, Reality TV | Description: Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures."
Patriot Act with Hasan Minhaj,"Stand-Up Comedy & Talk Shows, TV Comedies","Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.","Title: Patriot Act with Hasan Minhaj | Genre: Stand-Up Comedy & Talk Shows, TV Comedies | Description: Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series."
The End,"Action & Adventure, Comedies, International Movies","A wrongly accused man is pursued by a dogged investigator in this action-comedy featuring car chases, dark humor and more than a few vampires.","Title: The End | Genre: Action & Adventure, Comedies, International Movies | Description: A wrongly accused man is pursued by a dogged investigator in this action-comedy featuring car chases, dark humor and more than a few vampires."
Boys Over Flowers,"International TV Shows, Korean TV Shows, Romantic TV Shows",Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.,"Title: Boys Over Flowers | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique."
Iris,"International TV Shows, Korean TV Shows, TV Action & Adventure",Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.,"Title: Iris | Genre: International TV Shows, Korean TV Shows, TV Action & Adventure | Description: Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats."
Avatar: The Last Airbender,"Classic & Cult TV, Kids' TV, TV Action & Adventure","Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation.","Title: Avatar: The Last Airbender | Genre: Classic & Cult TV, Kids' TV, TV Action & Adventure | Description: Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation."
Heaven Without People,"Dramas, International Movies","From long resentments to deep secrets, an overdue family reunion erupts with drama when the matriarch makes a disturbing discovery.","Title: Heaven Without People | Genre: Dramas, International Movies | Description: From long resentments to deep secrets, an overdue family reunion erupts with drama when the matriarch makes a disturbing discovery."
"I love you, stupid","Comedies, International Movies, Romantic Movies","After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru.","Title: I love you, stupid | Genre: Comedies, International Movies, Romantic Movies | Description: After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru."
Inhuman Resources,"Crime TV Shows, International TV Shows, TV Dramas","Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game.","Title: Inhuman Resources | Genre: Crime TV Shows, International TV Shows, TV Dramas | Description: Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game."
Madam Secretary,TV Dramas,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family.","Title: Madam Secretary | Genre: TV Dramas | Description: When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family."
Magic for Humans,"Reality TV, TV Comedies","From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.","Title: Magic for Humans | Genre: Reality TV, TV Comedies | Description: From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs."
Parasyte: The Maxim,"Anime Series, International TV Shows, TV Horror","A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand.","Title: Parasyte: The Maxim | Genre: Anime Series, International TV Shows, TV Horror | Description: A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand."
She-Ra and the Princesses of Power,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.","Title: She-Ra and the Princesses of Power | Genre: Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy | Description: Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde."
Sleepless Society: Two Pillows & A Lost Soul,"Crime TV Shows, International TV Shows, TV Dramas",A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,"Title: Sleepless Society: Two Pillows & A Lost Soul | Genre: Crime TV Shows, International TV Shows, TV Dramas | Description: A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body."
Strangers from Hell,"International TV Shows, Korean TV Shows, TV Horror",Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.,"Title: Strangers from Hell | Genre: International TV Shows, Korean TV Shows, TV Horror | Description: Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors."
The Wiggles,Kids' TV,"The top band for preschool kids, The Wiggles, entertains tots with spirited music, simple choreography and whimsical adventures.","Title: The Wiggles | Genre: Kids' TV | Description: The top band for preschool kids, The Wiggles, entertains tots with spirited music, simple choreography and whimsical adventures."
White Lines,"British TV Shows, Crime TV Shows, International TV Shows","Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she quickly heads down a decadent and dangerous path.","Title: White Lines | Genre: British TV Shows, Crime TV Shows, International TV Shows | Description: Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she quickly heads down a decadent and dangerous path."
Dilan 1990,"Dramas, International Movies, Romantic Movies","At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.","Title: Dilan 1990 | Genre: Dramas, International Movies, Romantic Movies | Description: At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea."
Dilan 1991,"Dramas, International Movies, Romantic Movies","Dilan's involvement in the motorbike gang imperils his relationship with Milea, whose distant relative returns from Belgium.","Title: Dilan 1991 | Genre: Dramas, International Movies, Romantic Movies | Description: Dilan's involvement in the motorbike gang imperils his relationship with Milea, whose distant relative returns from Belgium."
Fan of Amoory,"Children & Family Movies, Dramas, International Movies","Inspired by his idol Omar Abdulrahman, a young boy navigates obstacles as he chases his dream of becoming a professional soccer player.","Title: Fan of Amoory | Genre: Children & Family Movies, Dramas, International Movies | Description: Inspired by his idol Omar Abdulrahman, a young boy navigates obstacles as he chases his dream of becoming a professional soccer player."
Malang,"Action & Adventure, International Movies, Romantic Movies","Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.","Title: Malang | Genre: Action & Adventure, International Movies, Romantic Movies | Description: Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels."
Match,"Dramas, International Movies","After living with a criminal father, two brothers on different paths head for a direct collision when an intriguing woman enters both of their lives.","Title: Match | Genre: Dramas, International Movies | Description: After living with a criminal father, two brothers on different paths head for a direct collision when an intriguing woman enters both of their lives."
Rencor tatuado,"Dramas, Independent Movies, International Movies","Armed with a thirst for revenge, a vigilante makes justice her business after being hired by various women to seduce and humiliate their rapists.","Title: Rencor tatuado | Genre: Dramas, Independent Movies, International Movies | Description: Armed with a thirst for revenge, a vigilante makes justice her business after being hired by various women to seduce and humiliate their rapists."
